time, Quad.Est.E.Pos, Quad.Est.S.Z
4.134883,0.022286,1.369517
4.139883,0.022624,1.370857
4.144882,0.023126,1.372869
4.149882,0.022231,1.374210
4.154881,0.022660,1.376222
4.159881,0.023354,1.377564
4.164881,0.023814,1.379577
4.169880,0.024580,1.380919
4.174880,0.025075,1.382933
4.179880,0.025764,1.384276
4.184879,0.026287,1.386291
4.189879,0.025122,1.387634
4.194879,0.025558,1.389650
4.199878,0.026345,1.390994
4.204878,0.026816,1.393010
4.209877,0.027147,1.394354
4.214877,0.027624,1.396372
4.219877,0.027383,1.397717
4.224876,0.027832,1.399735
4.229876,0.026564,1.401080
4.234876,0.026924,1.403099
4.239875,0.026698,1.404445
4.244875,0.027034,1.406465
4.249875,0.026796,1.407812
4.254874,0.027107,1.409832
4.259874,0.025890,1.411179
4.264874,0.026121,1.413200
4.269873,0.026333,1.414548
4.274873,0.026569,1.416570
4.279872,0.026412,1.417919
4.284872,0.026632,1.419941
4.289872,0.029376,1.421290
4.294871,0.029746,1.423314
4.299871,0.028403,1.424663
4.304871,0.028687,1.426688
4.309870,0.028540,1.428038
4.314870,0.028807,1.430063
4.319870,0.031130,1.431414
4.324869,0.031518,1.433440
4.329869,0.030244,1.434791
4.334868,0.030552,1.436818
4.339868,0.032115,1.438169
4.344868,0.032500,1.440197
4.349867,0.034530,1.441549
4.354867,0.035015,1.443577
4.359867,0.036792,1.444930
4.364866,0.037360,1.446959
4.369866,0.036688,1.448313
4.374866,0.037207,1.450343
4.379865,0.035902,1.451696
4.384865,0.036340,1.453727
4.389864,0.036731,1.455081
4.394864,0.037178,1.457113
4.399864,0.038810,1.458468
4.404863,0.039330,1.460500
4.409863,0.037732,1.461855
4.414863,0.038158,1.463889
4.419862,0.039724,1.465244
4.424862,0.040219,1.467278
4.429862,0.039391,1.468635
4.434861,0.039832,1.470670
4.439861,0.040084,1.472026
4.444860,0.040526,1.474062
4.449860,0.043310,1.475419
4.454860,0.043880,1.477456
4.459859,0.041009,1.478814
4.464859,0.041422,1.480851
4.469859,0.041881,1.482209
4.474858,0.042307,1.484247
4.479858,0.044130,1.485606
4.484858,0.044634,1.487645
4.489857,0.048227,1.489004
4.494857,0.048895,1.491044
4.499856,0.051588,1.492404
4.504856,0.052372,1.494444
4.509856,0.052595,1.495805
4.514855,0.053371,1.497846
4.519855,0.053115,1.499207
4.524855,0.053861,1.501249
4.529854,0.054744,1.502610
4.534854,0.055516,1.504653
4.539854,0.056571,1.506015
4.544853,0.057376,1.508059
4.549853,0.056907,1.509421
4.554852,0.057670,1.511465
4.559852,0.058069,1.512828
4.564852,0.058833,1.514874
4.569851,0.057316,1.516237
4.574851,0.057989,1.518283
4.579851,0.058169,1.519647
4.584850,0.058834,1.521693
4.589850,0.058339,1.523058
4.594850,0.058964,1.525105
4.599849,0.059375,1.526470
4.604849,0.060003,1.528518
4.609848,0.061027,1.529884
